🍄 Mycelia v7.3 loaded

======================================================================
🍄 MYCELIA FINAL TRAINING v8.0
   Stanford (30%) + FineWeb (70%) | No compression
======================================================================

📚 Loading tokenizer...
   Vocab: 151,643

🏗️ Building model...
   181,051,920 params on cuda:0

🔥 Scheduler: peak=3.00e-04 | min=1.00e-05 | warmup=100 | total=610,351

======================================================================
🏆 BEST CHECKPOINT
======================================================================
   ✅ Model loaded
   🔥 Warm-started input_pos

   📊 Resumed: step=1,219,000 | epoch=30 | loss=4.3306
   🏆 Best loss: 4.3306
   📈 Extended training plan: 2,327,649 total steps
   🚀 LR BURST: Injecting peak LR=3.00e-04 for 500 steps
   🔥 Scheduler reset: step=1219000 | LR=3.00e-04 | 📉 Annealing
   🚀 LR BURST ACTIVE: steps 1,219,000 → 1,219,500
   ✅ Optimizer restored

📖 Loading datasets...
   📥 Loading FineWeb chunks...
   📚 Loading 500 chunks...
      100 chunks (100,000,000 tokens, 0.40 GB)
      200 chunks (200,000,000 tokens, 0.80 GB)
      300 chunks (300,000,000 tokens, 1.20 GB)
      400 chunks (400,000,000 tokens, 1.60 GB)
      500 chunks (500,000,000 tokens, 2.00 GB)
   ✅ 500 arrays | 500,000,000 tokens | 2.00 GB
   ✅ Data ready

⏱️  Tracker: 8,192 tok/step | 10.0B total

======================================================================
🚀 EPOCH 31 — STEP 1,219,000
======================================================================

Training: 1219000it [00:00, ?it/s]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878

⏱️  Step 1,219,000 | 620371899 tok/s | 9.99/10.0 GB | 100.0% | ETA N/A | Elapsed 0:00:16

📊 Step 1,219,000 | Loss: 5.0158 | LR: 3.00e-04 | 📉 Annealing 🚀 BURST
   Coherence: 0.9486 📈
   Friction: 🟢 HARMONIZED | early=0.85 late=1.78 Δ=-0.93
Training: 1219001it [00:16, 16.29s/it]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878
Training: 1219100it [00:30,  7.39it/s]   FCA: α_attn_eff=1.5254 α_ffn_eff=2.5156 φ_l=0.0368 scale=0.9793
Training: 1219101it [00:30,  7.47it/s]   FCA: α_attn_eff=1.5327 α_ffn_eff=2.5277 φ_l=0.0368 scale=0.9840
Training: 1219102it [00:30,  7.56it/s]   FCA: α_attn_eff=1.5430 α_ffn_eff=2.5446 φ_l=0.0368 scale=0.9906
Training: 1219103it [00:30,  7.58it/s]   FCA: α_attn_eff=1.5430 α_ffn_eff=2.5446 φ_l=0.0368 scale=0.9906
Training: 1219104it [00:30,  6.52it/s]   FCA: α_attn_eff=1.5314 α_ffn_eff=2.5252 φ_l=0.0368 scale=0.9831
Training: 1219105it [00:30,  6.97it/s]   FCA: α_attn_eff=1.5475 α_ffn_eff=2.5518 φ_l=0.0368 scale=0.9934
Training: 1219106it [00:30,  7.16it/s]   FCA: α_attn_eff=1.5490 α_ffn_eff=2.5542 φ_l=0.0368 scale=0.9944
Training: 1219107it [00:31,  7.31it/s]   FCA: α_attn_eff=1.5475 α_ffn_eff=2.5518 φ_l=0.0368 scale=0.9934
Training: 1219108it [00:31,  7.41it/s]   FCA: α_attn_eff=1.5490 α_ffn_eff=2.5542 φ_l=0.0368 scale=0.9944
Training: 1219109it [00:31,  7.51it/s]   FCA: α_attn_eff=1.5446 α_ffn_eff=2.5470 φ_l=0.0368 scale=0.9915
Training: 1219110it [00:31,  7.55it/s]   FCA: α_attn_eff=1.5314 α_ffn_eff=2.5252 φ_l=0.0368 scale=0.9831
Training: 1219111it [00:31,  7.56it/s]   FCA: α_attn_eff=1.5505 α_ffn_eff=2.5566 φ_l=0.0368 scale=0.9953
Training: 1219112it [00:31,  6.49it/s]   FCA: α_attn_eff=1.5418 α_ffn_eff=2.5421 φ_l=0.0368 scale=0.9897
Training: 1219113it [00:31,  6.92it/s]   FCA: α_attn_eff=1.5506 α_ffn_eff=2.5566 φ_l=0.0368 scale=0.9953
Training: 1219114it [00:32,  7.13it/s]   FCA: α_attn_eff=1.5301 α_ffn_eff=2.5228 φ_l=0.0368 scale=0.9821
Training: 1219115it [00:32,  7.24it/s]   FCA: α_attn_eff=1.5418 α_ffn_eff=2.5421 φ_l=0.0368 scale=0.9897
Training: 1219116it [00:32,  7.35it/s]   FCA: α_attn_eff=1.5360 α_ffn_eff=2.5325 φ_l=0.0368 scale=0.9859
Training: 1219117it [00:32,  7.41it/s]   FCA: α_attn_eff=1.5418 α_ffn_eff=2.5421 φ_l=0.0368 scale=0.9897
Training: 1219118it [00:32,  7.45it/s]   FCA: α_attn_eff=1.5403 α_ffn_eff=2.5397 φ_l=0.0368 scale=0.9887
Training: 1219119it [00:32,  7.53it/s]   FCA: α_attn_eff=1.5447 α_ffn_eff=2.5470 φ_l=0.0368 scale=0.9915
Training: 1219120it [00:32,  6.49it/s]   FCA: α_attn_eff=1.5273 α_ffn_eff=2.5180 φ_l=0.0368 scale=0.9802
Training: 1219121it [00:33,  6.96it/s]   FCA: α_attn_eff=1.5347 α_ffn_eff=2.5300 φ_l=0.0368 scale=0.9849
Training: 1219122it [00:33,  7.11it/s]   FCA: α_attn_eff=1.5405 α_ffn_eff=2.5397 φ_l=0.0368 scale=0.9887
Training: 1219123it [00:33,  7.27it/s]   FCA: α_attn_eff=1.5449 α_ffn_eff=2.5469 φ_l=0.0368 scale=0.9915
Training: 1219124it [00:33,  7.37it/s]   FCA: α_attn_eff=1.5376 α_ffn_eff=2.5349 φ_l=0.0368 scale=0.9868
Training: 1219125it [00:33,  7.39it/s]   FCA: α_attn_eff=1.5273 α_ffn_eff=2.5180 φ_l=0.0368 scale=0.9802
Training: 1219126it [00:33,  7.47it/s]   FCA: α_attn_eff=1.5405 α_ffn_eff=2.5397 φ_l=0.0368 scale=0.9887
Training: 1219127it [00:33,  7.53it/s]   FCA: α_attn_eff=1.5434 α_ffn_eff=2.5445 φ_l=0.0368 scale=0.9906
Training: 1219128it [00:34,  6.48it/s]   FCA: α_attn_eff=1.5377 α_ffn_eff=2.5349 φ_l=0.0368 scale=0.9868
Training: 1219129it [00:34,  6.94it/s]   FCA: α_attn_eff=1.5363 α_ffn_eff=2.5324 φ_l=0.0368 scale=0.9859
Training: 1219130it [00:34,  7.16it/s]   FCA: α_attn_eff=1.5436 α_ffn_eff=2.5445 φ_l=0.0368 scale=0.9906
Training: 1219131it [00:34,  7.29it/s]   FCA: α_attn_eff=1.5377 α_ffn_eff=2.5349 φ_l=0.0368 scale=0.9868
Training: 1219132it [00:34,  7.37it/s]   FCA: α_attn_eff=1.5363 α_ffn_eff=2.5324 φ_l=0.0368 scale=0.9859
Training: 1219133it [00:34,  7.46it/s]   FCA: α_attn_eff=1.5245 α_ffn_eff=2.5131 φ_l=0.0368 scale=0.9784
Training: 1219134it [00:34,  7.53it/s]   FCA: α_attn_eff=1.5524 α_ffn_eff=2.5590 φ_l=0.0368 scale=0.9962
Training: 1219135it [00:34,  7.58it/s]   FCA: α_attn_eff=1.5392 α_ffn_eff=2.5373 φ_l=0.0368 scale=0.9878
Training: 1219136it [00:35,  6.50it/s]   FCA: α_attn_eff=1.5247 α_ffn_eff=2.5131 φ_l=0.0368 scale=0.9784
Training: 1219137it [00:35,  6.92it/s]   FCA: α_attn_eff=1.5305 α_ffn_eff=2.5227 φ_l=0.0368 scale=0.9821
Training: 1219138it [00:35,  7.13it/s]   FCA: α_attn_eff=1.5481 α_ffn_eff=2.5517 φ_l=0.0368 scale=0.9934
Training: 1219139it [00:35,  7.30it/s]   FCA: α_attn_eff=1.5217 α_ffn_eff=2.5082 φ_l=0.0368 scale=0.9765
Training: 1219140it [00:35,  7.37it/s]   FCA: α_attn_eff=1.5320 α_ffn_eff=2.5252 φ_l=0.0368 scale=0.9831
Training: 1219141it [00:35,  7.47it/s]   FCA: α_attn_eff=1.5511 α_ffn_eff=2.5566 φ_l=0.0368 scale=0.9953
Training: 1219142it [00:35,  7.55it/s]   FCA: α_attn_eff=1.5437 α_ffn_eff=2.5445 φ_l=0.0368 scale=0.9906
Training: 1219143it [00:36,  7.58it/s]   FCA: α_attn_eff=1.5511 α_ffn_eff=2.5566 φ_l=0.0368 scale=0.9953
Training: 1219144it [00:36,  6.48it/s]   FCA: α_attn_eff=1.5438 α_ffn_eff=2.5445 φ_l=0.0368 scale=0.9906
Training: 1219145it [00:36,  6.95it/s]   FCA: α_attn_eff=1.5307 α_ffn_eff=2.5227 φ_l=0.0368 scale=0.9821
Training: 1219146it [00:36,  7.12it/s]   FCA: α_attn_eff=1.5277 α_ffn_eff=2.5179 φ_l=0.0368 scale=0.9802
Training: 1219147it [00:36,  7.27it/s]   FCA: α_attn_eff=1.5292 α_ffn_eff=2.5203 φ_l=0.0368 scale=0.9812
Training: 1219148it [00:36,  7.38it/s]   FCA: α_attn_eff=1.5380 α_ffn_eff=2.5348 φ_l=0.0368 scale=0.9868
Training: 1219149it [00:36,  7.46it/s]   FCA: α_attn_eff=1.5482 α_ffn_eff=2.5517 φ_l=0.0368 scale=0.9934
Training: 1219150it [00:37,  7.55it/s]   FCA: α_attn_eff=1.5409 α_ffn_eff=2.5396 φ_l=0.0368 scale=0.9887
Training: 1219151it [00:37,  7.60it/s]   FCA: α_attn_eff=1.5292 α_ffn_eff=2.5203 φ_l=0.0368 scale=0.9812
Training: 1219152it [00:37,  6.53it/s]   FCA: α_attn_eff=1.5322 α_ffn_eff=2.5251 φ_l=0.0368 scale=0.9831
Training: 1219153it [00:37,  6.97it/s]   FCA: α_attn_eff=1.5190 α_ffn_eff=2.5033 φ_l=0.0368 scale=0.9746
Training: 1219154it [00:37,  7.13it/s]   FCA: α_attn_eff=1.5454 α_ffn_eff=2.5468 φ_l=0.0368 scale=0.9915
Training: 1219155it [00:37,  7.30it/s]   FCA: α_attn_eff=1.5308 α_ffn_eff=2.5227 φ_l=0.0368 scale=0.9821
Training: 1219156it [00:37,  7.43it/s]   FCA: α_attn_eff=1.5440 α_ffn_eff=2.5444 φ_l=0.0368 scale=0.9906
Training: 1219157it [00:38,  7.49it/s]   FCA: α_attn_eff=1.5410 α_ffn_eff=2.5396 φ_l=0.0368 scale=0.9887
Training: 1219158it [00:38,  7.55it/s]   FCA: α_attn_eff=1.5396 α_ffn_eff=2.5372 φ_l=0.0368 scale=0.9878
Training: 1219159it [00:38,  7.61it/s]   FCA: α_attn_eff=1.5146 α_ffn_eff=2.4961 φ_l=0.0368 scale=0.9718
Training: 1219160it [00:38,  6.48it/s]   FCA: α_attn_eff=1.5426 α_ffn_eff=2.5420 φ_l=0.0368 scale=0.9897
Training: 1219161it [00:38,  6.94it/s]   FCA: α_attn_eff=1.5367 α_ffn_eff=2.5323 φ_l=0.0368 scale=0.9859
Training: 1219162it [00:38,  7.12it/s]   FCA: α_attn_eff=1.5455 α_ffn_eff=2.5468 φ_l=0.0368 scale=0.9915
Training: 1219163it [00:38,  7.30it/s]   FCA: α_attn_eff=1.5250 α_ffn_eff=2.5130 φ_l=0.0368 scale=0.9784
Training: 1219164it [00:39,  7.38it/s]   FCA: α_attn_eff=1.5030 α_ffn_eff=2.4767 φ_l=0.0368 scale=0.9643
Training: 1219165it [00:39,  7.49it/s]   FCA: α_attn_eff=1.5294 α_ffn_eff=2.5202 φ_l=0.0368 scale=0.9812
Training: 1219166it [00:39,  7.56it/s]   FCA: α_attn_eff=1.5279 α_ffn_eff=2.5178 φ_l=0.0368 scale=0.9802
Training: 1219167it [00:39,  7.61it/s]   FCA: α_attn_eff=1.5426 α_ffn_eff=2.5420 φ_l=0.0368 scale=0.9897
Training: 1219168it [00:39,  6.51it/s]   FCA: α_attn_eff=1.5457 α_ffn_eff=2.5468 φ_l=0.0368 scale=0.9915
Training: 1219169it [00:39,  6.96it/s]   FCA: α_attn_eff=1.5442 α_ffn_eff=2.5444 φ_l=0.0368 scale=0.9906
